Name,English Name,Latitude,Longitude,Dimension,Feature Type,Dimension Type,Name Origin,Link
Lacus Aestatis,Lake of Summer,15.0° S,69.0° W,90 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Aestatis
Lacus Autumni,Lake of Autumn,9.9° S,83.9° W,183 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Autumni
Lacus Bonitatis,Lake of Goodness,23.2° N,43.7° E,92 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Bonitatis
Lacus Doloris,Lake of Sorrow,17.1° N,9.0° E,110 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Doloris
Lacus Excellentiae,Lake of Excellence,35.4° S,44.0° W,184 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Excellentiae
Lacus Felicitatis,Lake of Happiness,19.0° N,5.0° E,90 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Felicitatis
Lacus Gaudii,Lake of Joy,16.2° N,12.6° E,113 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Gaudii
Lacus Hiemalis,Lake of Winter,15.0° N,14.0° E,50 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Hiemalis
Lacus Lenitatis,Lake of Softness,14.0° N,12.0° E,80 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Lenitatis
Lacus Luxuriae,Lake of Luxury,19.0° N,176.0° E,50 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Luxuriae
Lacus Mortis,Lake of Death,45.0° N,27.2° E,151 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Mortis
Lacus Oblivionis,Lake of Forgetfulness,21.0° S,168.0° W,50 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Oblivionis
Lacus Odii,Lake of Hatred,19.0° N,7.0° E,70 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Odii
Lacus Perseverantiae,Lake of Perseverance,8.0° N,62.0° E,70 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Perseverantiae
Lacus Solitudinis,Lake of Solitude,27.8° S,104.3° E,139 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Solitudinis
Lacus Somniorum,Lake of Dreams,38.0° N,29.2° E,384 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Somniorum
Lacus Spei,Lake of Hope,43.0° N,65.0° E,80 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Spei
Lacus Temporis,Lake of Time,45.9° N,58.4° E,117 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Temporis
Lacus Timoris,Lake of Fear,38.8° S,27.3° W,117 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Timoris
Lacus Veris,Lake of Spring,16.5° S,86.1° W,396 km,basaltic plain,diameter,,https://en.wikipedia.org/wiki/Lacus_Veris
Montes Alpes,,48.36°N,0.58°W,281 km,mountain range,diameter,"The Alps, Europe",https://en.wikipedia.org/wiki/Montes_Alpes
Montes Apenninus,,19.87°N,0.03°W,401 km,mountain range,diameter,"The Apennine Mountains, Italy",https://en.wikipedia.org/wiki/Montes_Apenninus
Montes Archimedes,,25.39°N,5.25°W,163 km,mountain range,diameter,Named after nearby crater Archimedes,https://en.wikipedia.org/wiki/Montes_Archimedes
Montes Carpatus,,14.57°N,23.62°W,361 km,mountain range,diameter,"The Carpathian Mountains, Europe",https://en.wikipedia.org/wiki/Montes_Carpatus
Montes Caucasus,,37.52°N,9.93°E,445 km,mountain range,diameter,"The Caucasus Mountains, Europe",https://en.wikipedia.org/wiki/Montes_Caucasus
Montes Cordillera,,17.5°S,79.5°W,574 km,mountain range,diameter,"Spanish for ""mountain chain""",https://en.wikipedia.org/wiki/Montes_Cordillera
Montes Haemus,,17.11°N,12.03°E,560 km,mountain range,diameter,Greek name for the Balkan Mountains,https://en.wikipedia.org/wiki/Montes_Haemus
Montes Harbinger,,26.89°N,41.29°W,90 km,mountain range,diameter,Harbingers of dawn on the crater Aristarchus,https://en.wikipedia.org/wiki/Montes_Harbinger
Montes Jura,,47.49°N,36.11°W,422 km,mountain range,diameter,"The Jura Mountains, Europe",https://en.wikipedia.org/wiki/Montes_Jura
Montes Pyrenaeus,,14.05°S,41.51°E,164 km,mountain range,diameter,"The Pyrenees Mountains, Europe",https://en.wikipedia.org/wiki/Montes_Pyrenaeus
Montes Recti,,48.3°N,19.72°W,90 km,mountain range,diameter,"Latin for ""straight range""",https://en.wikipedia.org/wiki/Montes_Recti
Montes Riphaeus,,7.48°S,27.60°W,189 km,mountain range,diameter,"Greek name for the Ural Mountains, Russia",https://en.wikipedia.org/wiki/Montes_Riphaeus
Montes Rook,,20.6°S,82.5°W,791 km,mountain range,diameter,"Lawrence Rook, astronomer",https://en.wikipedia.org/wiki/Montes_Rook
Montes Secchi,,2.72°N,43.17°E,50 km,mountain range,diameter,Named after nearby crater Secchi,https://en.wikipedia.org/wiki/Montes_Secchi
